date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
2026-10-11,0.9078381578968074,0.0,0.0,0.0,0.0,3.448180118833592,7.0516508496151475,8.430971137319613,9.849874655042688
2026-10-18,2.3013726004677677,0.0,0.0,0.0,0.0,4.787930902885165,8.99321847860691,10.945695266174043,12.459088525222494
2026-10-25,1.3146826181351616,0.0,0.0,0.0,0.0,4.115708101706154,9.218153823332438,11.499796880201943,12.941975320295922
2026-11-01,1.6362833979539393,0.0,0.0,0.0,0.0,4.626282592704502,9.523134013107029,12.04958502857944,13.684633608749106
2026-11-08,3.117735144031772,0.0,0.0,0.0,0.0,6.417261851561793,11.180168259871737,14.378614724410303,16.196213830245252
2026-11-15,5.466785126081934,0.0,0.0,0.0,1.3003455675163176,8.759929684452047,13.743687037281028,16.743591383747088,18.65972807770154
2026-11-22,4.528080455641995,0.0,0.0,0.0,0.414038394074689,7.755170796494733,12.731360076051008,16.304516432862528,17.825803492646447
2026-11-29,8.148290314378883,0.0,0.0,0.69564484690569,4.094437447537404,12.000695076931935,16.75986327265642,19.4739772710695,22.217234745968785
2026-12-06,12.65849875104332,1.333654143928528,1.7324745620479587,3.8960992420902256,8.170199831842423,16.864087065576555,21.1636320675602,24.52236534011268,27.93308258902931
2026-12-13,9.369970376625297,0.0,0.0,1.5329836095716929,5.0529451097395395,13.452974292173622,18.325283023252723,21.229754229917756,24.02528054369949
2026-12-20,6.70162744334501,0.0,0.0,0.0,2.376959558041512,10.230410333187997,15.195948071988047,18.674625821621834,20.43038663438122
2026-12-27,7.398691268144376,0.0,0.0,0.09750323790145682,3.058998708902128,11.064909463105923,16.34186320799423,19.232155184922938,22.149108367143395
2027-01-03,18.282792071802568,5.242840835554552,7.389259848101092,8.459324869615983,13.165759644014788,22.697161516649675,28.018666967852067,31.44496625374073,34.90790742347949
2027-01-10,33.687532612452976,19.822745024333468,22.345421158442964,23.395636784205905,28.090348374019136,38.51319850600766,43.64257701552915,47.62325652755307,50.535405193934906
2027-01-17,48.48005161913338,33.86101343782845,35.462221933922194,38.09606993349495,42.01658156069222,53.728742624840166,59.52824194582406,63.370304323753736,65.36924078615607
2027-01-24,50.36096789457744,35.34813088514751,37.596436682724416,39.95360144712871,44.038015547775686,55.248955908798635,61.602315131210744,64.65966872312968,67.33035258390848
2027-01-31,52.7894683810796,38.965117222937515,40.28547750202077,42.07623086658376,46.45479551044362,57.769989640387465,63.576325471075954,67.19072938648121,69.55722852435962
2027-02-07,68.94898421028952,50.98495764473776,52.974042651451626,55.93190684059958,63.583549449242156,73.78334421852927,79.70219683388572,83.54231219033102,86.47209772805074
2027-02-14,61.590698003259476,45.18222178408223,48.37401942202169,49.98085898348409,56.18258532473165,66.67470320650655,72.20680884310325,76.1162769217165,78.77614554354267
2027-02-21,60.01199847863458,44.00394094155572,47.631048847897276,48.22896049187921,54.67622230218194,65.59501311944268,71.01701095269463,73.98392760918877,77.1254271285369
2027-02-28,52.15151145656013,37.871871888231276,39.70501054484748,41.36211007792854,46.01048883159065,57.16792710978889,63.00691560466195,66.57949250895881,68.99409040172003
2027-03-07,51.20517229075945,36.483434085803395,38.78309257503069,40.55782402034319,44.90895927424944,56.22078216548479,62.39413803096331,65.59743621821916,68.15333965297258
2027-03-14,47.69076030244139,32.8602591656616,34.79135533799437,37.40070497025755,41.007759680645734,52.87367116441038,58.889118208782946,62.5949985646179,64.33041039933468
2027-03-21,50.884260012786854,36.668931147735584,38.362815997283924,40.38483462063597,44.72255701748656,55.92749876705931,61.866009471099844,65.68628763882445,67.77016024319455
2027-03-28,53.47392728131986,39.67914086621976,41.3861098412869,42.74271441739774,47.16976157468534,58.349012291848425,63.972361863076465,67.76709414762234,70.06054469388698
2027-04-04,55.702647398721005,42.48617074848297,43.318312910805965,44.62555282474639,49.786307219277646,60.646868590127255,65.95433395267608,69.84334915042999,72.07986419559599
2027-04-11,63.097823926310674,47.25046470771326,49.99524286399378,51.45342214713587,57.471707517008916,67.93576925406947,73.89392927299038,78.93680151114955,82.06856744895471
2027-04-18,61.989277506900976,46.54476327045078,49.178730860782814,50.71174611194248,56.41368893725986,66.58632687671299,72.01535863025303,76.9972876463663,80.49268979175204
2027-04-25,57.992071258598735,45.197527935081894,45.49615245061534,47.07982974248546,52.52000460820811,62.98936495977061,67.15915065007825,72.5929881592335,76.59517092900887
2027-05-02,62.650313128781534,48.515147761655065,50.73296907360575,52.240763835263465,57.96596448833964,67.20266645367167,72.57781408245584,75.68810193951151,80.03500726635475
2027-05-09,58.981760114831076,46.361662038964376,48.42562516610061,50.07467549721633,54.74914105812942,62.533817609948265,66.24985478798783,70.07035001198685,73.28414739052688
2027-05-16,48.7035419792557,37.403795141639726,38.384160131874104,40.37553910678866,44.46496400302889,52.36018571323397,55.10182809299472,61.075238127174394,64.1106114334488
2027-05-23,51.24748742499965,40.007207845837044,41.742793058544564,43.45320966163295,47.60450093665736,54.595590757519176,57.72561070838588,62.11934869208949,65.34857366004603
2027-05-30,50.429640227356984,39.024005042115284,40.77368002990825,43.24138899902446,47.332989607850145,53.6882638082896,56.95001174072368,59.5135676489268,61.41194211105448
2027-06-06,35.064042694834285,27.31578484800201,27.700225842264707,29.143895542887265,32.89608670499664,37.91497327115875,39.80462647703033,42.501524365213925,44.784180939463184
2027-06-13,26.333526915885724,20.52255284247569,20.742737407066144,21.631933135368147,24.402132338859357,27.89503318724803,30.981445235587874,33.04152595458201,33.471547526695055
2027-06-20,20.437502375290183,15.337212277099876,15.845059681579857,17.45607109133938,18.820414257690697,22.020504666015892,24.04440422122219,24.83832578723171,26.005962610885884
2027-06-27,17.994564196718116,14.032864987504858,14.713280999315161,15.490698563707252,16.622071015489478,19.312403905046363,20.529418789995095,22.035785996568578,22.581623589647194
